Avez-vous une chambre de libre,Har ni ett ledigt rum,À l’hôtel,På hotellet
Je voudrais une chambre à un lit avec douche,Jag skulle vilja ha ett enkelrum med dusch,À l’hôtel,På hotellet
Je voudrais une chambre pour deux personnes à un lit avec salle de bains,Jag skulle vilja ha ett dubbelrum med bad,À l’hôtel,På hotellet
Une chambre avec un grand lit,Ett rum med en dubbelsäng,À l’hôtel,På hotellet
Une chambre avec un lit supplémentaire,Ett rum med en extrasäng,À l’hôtel,På hotellet
Combien coûte la chambre,Hur mycket kostar rummet,À l’hôtel,På hotellet
Et avec pension complète,Och med helpension,À l’hôtel,På hotellet
Et avec demi-pension complète,Och med halvpension,À l’hôtel,På hotellet
Est-ce qu’il y a une chambre plus grande,Finns det ett större rum,À l’hôtel,På hotellet
Est-ce qu’il y a une chambre plus petite,Finns det ett mindre rum,À l’hôtel,På hotellet
Est-ce qu’il y a une chambre moins chère,Finns det ett billigare rum,À l’hôtel,På hotellet
Combien de temps restez-vous,Hur länge stannar ni,À l’hôtel,På hotellet
Je m’en vais demain,Jag drar imorgon,À l’hôtel,På hotellet
Je pars vais demain,Jag åker imorgon,À l’hôtel,På hotellet
Puis-je voir la chambre,Kan jag se rummet,À l’hôtel,På hotellet
Je prends cette chambre,Jag tar det här rummet,À l’hôtel,På hotellet
Est-ce qu’il y a le téléphone dans la chambre,Finns det telefon i rummet,À l’hôtel,På hotellet
Est-ce qu’il y a la télévision dans la chambre,Finns det tv i rummet,À l’hôtel,På hotellet
Puis-je voir votre passeport,Kan jag få se ert pass,À l’hôtel,På hotellet
À quelle heure peut-on prendre le petit déjeuner,Vid vilken tid serveras frukosten,À l’hôtel,På hotellet
Est-ce que le petit déjeuner est compris dans le prix de la chambre,Ingår frukost i rumspriset,À l’hôtel,På hotellet
Est-ce que je peux avoir le petit déjeuner dans la chambre,Kan jag få frukosten på rummet,À l’hôtel,På hotellet
Où est la salle de manger,Var finns matsalen,À l’hôtel,På hotellet
Où puis-je garer la voiture,Var kan jag parkera bilen,À l’hôtel,På hotellet
Est-ce qu’il y a un garage,Finns det ett garage,À l’hôtel,På hotellet
Est-ce que je peux laisser la voiture dans le rue pendant la nuit,Kan jag lämna bilen på gatan över natten,À l’hôtel,På hotellet
Pouvez-vous me commander un taxi,Kan ni beställa en taxi åt mig,À l’hôtel,På hotellet
Je voudrais téléphoner,Jag skulle vilja ringa,À l’hôtel,På hotellet
Je voudrais envoyer un fax,Jag skulle vilja skicka ett fax,À l’hôtel,På hotellet
Est-ce qu’il y a du courrier pour moi,Finns det post till mig,À l’hôtel,På hotellet
Est-ce qu’il y a un message pour moi,Finns det ett meddelande till mig,À l’hôtel,På hotellet
Est-ce que je peux avoir la clé de la chambre numéro,Kan jag få nyckeln till rum nummer,À l’hôtel,På hotellet
Pouvez-vous me réparer la note pour demain matin,Kan ni göra ordning räkningen till mig i morgon bitti,À l’hôtel,På hotellet
Je voudrais être réveillé demain matin à sept heures,Jag skulle vilja bli väckt i morgon bitti klockan sju,À l’hôtel,På hotellet
