Quand est-ce que les magasins sont ouverts,När är affärerna öppna,Faire les magasin,Handlar
Je ne fais que regarder,Jag vill bara titta,Faire les magasin,Handlar
Je voudrais regarder,Jag skulle vilja titta,Faire les magasin,Handlar
Je voudrais acheter,Jag skulle vilja köpa,Faire les magasin,Handlar
Où se trouve,Var finns,Faire les magasin,Handlar
Est-ce que vous pouvez me montrer,Kan ni visa mig,Faire les magasin,Handlar
Ça que vous avez en vitrine,Det som ni har i skyltfönstret,Faire les magasin,Handlar
Puis-je l’essayer,Kan jag prova den,Faire les magasin,Handlar
Ça ne me va pas,Den passar inte mig,Faire les magasin,Handlar
Il est trop grand,Den är för stor,Faire les magasin,Handlar
Il est trop petit,Den är för liten,Faire les magasin,Handlar
Il n’y a rien de meilleur marché,Finns det inget billigare,Faire les magasin,Handlar
Je le prends,Jag tar den,Faire les magasin,Handlar
Pourrais-je l’avoir aussi,Skulle jag kunna få den också,Faire les magasin,Handlar
Pouvez-vous l’envelopper,Kan ni slå in den,Faire les magasin,Handlar
Où est-ce qu’on paye,Vart betalar man,Faire les magasin,Handlar
Est-ce que je peux avoir un ticket,Kan jag få ett kvitto,Faire les magasin,Handlar
J’aimerais acheter un souvenir typique de la région,Jag skulle vilja köpa en souvenir som är typisk för regionen,Faire les magasin,Handlar
Je voudrais quelque chose de typiquement français,Jag skulle vilja ha något typiskt franskt,Faire les magasin,Handlar
