Le plein s’il vous plaît,Full tank tack,À la station-service,Vid bensinstationen
Je voudrais laver ma voiture,Jag skulle vilja tvätta min bil,À la station-service,Vid bensinstationen
Est-ce que vous pouvez réparer la crevaison,Kan ni laga punkteringen,À la station-service,Vid bensinstationen
Je voudrais faire la vidange,Jag skulle vilja göra oljebytet,À la station-service,Vid bensinstationen
Pouvez-vous contrôler la pression des roues avant,Kan ni kontrollera framhjulens tryck,À la station-service,Vid bensinstationen
Pouvez-vous contrôler la pression des roues arrière,Kan ni kontrollera bakhjulens tryck,À la station-service,Vid bensinstationen
Une courroie de ventilateur ,En fläktrem,À la station-service,Vid bensinstationen
Je voudrais de l’antigel,Jag skulle vilja ha kylarvatten,À la station-service,Vid bensinstationen
Je voudrais de l’huile de moteur,Jag skulle vilja ha motorolja,À la station-service,Vid bensinstationen
Je voudrais du liquide pour lave-glace,Jag skulle vilja ha vindrutespolarvätska,À la station-service,Vid bensinstationen
Je voudrais des fusibles,Jag skulle vilja ha säkringar,À la station-service,Vid bensinstationen
Je voudrais une bougie,Jag skulle vilja ha ett tändstift,À la station-service,Vid bensinstationen
Je voudrais des essuie-glaces ,Jag skulle vilja ha vindrutetorkare,À la station-service,Vid bensinstationen
Où peut-on louer une voiture,Var kan man hyra en bil,À la station-service,Vid bensinstationen
Le moteur ne marche pas bien,Motorn fungerar inte bra,À la station-service,Vid bensinstationen
Quand pensez-vous que la voiture sera prête,När tror du att bilen kommer vara redo,À la station-service,Vid bensinstationen
Combien va coûter la réparation ,Hur mycket kostar reparationen,À la station-service,Vid bensinstationen
